invite_code,server_name,description,member_count,online_count,verified,channel_name,inviter_username,expires_at,collected_at
xBeGRdFuVX,Pocketto Community,,4,0,False,general,kentng201,,2025-05-10T19:56:03.881139
010z0Kw1A9ql5c1Qe,Programming,,15875,2458,False,rules-and-information,promises,,2025-05-10T19:56:11.148497
eleutherai,EleutherAI,,29999,3686,False,announcements,,,2025-05-10T19:56:14.433600
F3kFan28vH,Ailiverse,,109,4,False,general,fannielin,,2025-05-10T19:56:20.979548
afefVyfAkH,hanabira.org,dedicated to hanabira.org feedback and development (Japanese learning portal),102,14,False,welcome,coil6526,,2025-05-10T19:56:24.278761
YCzPuRrmT3,Study Data Science,,36,5,False,how-to-use-server,jin_0072657,,2025-05-10T19:56:27.547611
HgdyfuuNEn,Code and Coffee,"Code and Coffee is where web developers and UI/UX designers gather to collaborate, share ideas, and fuel their passion",59,7,False,moderator-only,thebrokentech,,2025-05-10T19:56:34.213798
Z3wVwMtGrw,DataScienceHive,,330,22,False,general,ryan_3555,,2025-05-10T19:56:47.308027
m88xfYMbK6,PromptsLab,"At PromptsLab we aim to create a thriving knowledge-sharing community for Generative Models, Prompt-Engineering and LLMs",1819,82,False,general,stoicbatman,,2025-05-10T19:56:50.622108
4unrSRjcM9,Future Scholars,,174,13,False,general,geoffreychen777,,2025-05-10T19:56:53.877787
gnsn7ZP,Isleward,,1575,173,False,offtopic,hom5464,,2025-05-10T19:56:57.175450
UYNaemm,Data Science,"We're a community of data science professionals and enthusiasts. We love data and we love science, come join us!",16224,1690,False,welcome-readme,et5175,,2025-05-10T19:57:03.680640
zXq2NfVdtF,Aim,,815,57,False,moderator-only,tatyanaaa,,2025-05-10T19:57:13.419234
yBBcVCZ,Artificial Intelligence,A place for academia and industry to discuss advanced topics in artificial intelligence and machine learning.,23262,2388,False,readme-old,npielawski,,2025-05-10T19:57:16.746681
dAF4F28,SpeakJS,"A community of over 30,000 JavaScript developers. Join us to learn something new, help others, and have some fun.",34727,2870,False,welcome,speakjs,,2025-05-10T19:57:19.994855
python,Python,We're a large community focused around the Python programming language. We believe that anyone can learn to code.,400848,39506,False,welcome,,,2025-05-10T19:57:24.511403
3SVxpAcpc4,HighTechHacks,,273,23,False,introductions-discussion,pirateg9999,,2025-05-10T19:57:30.963135
nM482gc9h8,ML Contests,,933,39,False,👋│welcome,__harald__,,2025-05-10T19:57:34.330705
KJFGcyYVwN,wwwdev.cc,,225,13,False,admin,stjudewashere,,2025-05-10T19:57:40.910216
SQWfqnXXSH,MLDS collaboration,,270,13,False,🙌-general,neophious,,2025-05-10T19:57:47.465925
GvSxsZ3d35,JS rebels,,46,3,False,canteen,mindranger,,2025-05-10T19:57:50.712569
74srJgNBxz,Tab Nation Coding,,1640,318,False,moderator-only,tabberman,,2025-05-10T19:58:00.595550
VJRuU3bSxt,TabPFN,The TabPFN community on Discord.,893,44,False,rules,_smg__,,2025-05-10T19:58:03.855348
programming,The Programmer's Hangout,"Whether you've written 10 lines of code or have been writing code for 10 years, we’ve got a place for you!",186302,20605,False,rules,,,2025-05-10T19:58:07.123255
ZdtqzgJk2H,Learn Programming,,141,9,False,general,grouchotron,,2025-05-10T19:58:10.561606
s3KuuzsPFb,LeRobot,,6934,756,False,general,syx6820,,2025-05-10T19:58:13.845178
MQV3reZ,programming hut,,40,8,False,general,mlgterminator1235290,,2025-05-10T19:58:20.313972
hnKCXqQ,BxJS,,522,13,False,general,yamalightz,,2025-05-10T19:58:26.862900
5AN7rVXEES,Pieces for Developers,Welcome to Pieces for Developers Community 🚀 Connect and grow with a community focused on AI-driven development!,5154,303,False,rules,deleted_user_a770efd64b2e,,2025-05-10T19:58:33.400471
wCqxqBqn73,Stitch Fix Hamilton OS Server,,31,3,False,moderator-only,feralmonkey.,,2025-05-10T19:58:46.586489
