group_id,name,category,privacy,member_count,creation_date,post_frequency,description,location,related_keywords,discovery_date,school_focus,geographic_scope,target_age_range,outreach_potential,best_contact_methods,admin_responsiveness,group_rules_strictness
fb_group_622980713,university students Community,College Life,Public,4443,2023-08-23,4.62,"Discuss College Life events, student activities, and campus life. Share tips on balancing academics and social life.",United States,"['dorm', 'support', 'opportunities', 'collaboration', 'campus', 'resources', 'discussion']",2025-05-11,Undergraduate,Local,16-35,5.1,"['Group Admin Message', 'Post in Group']",High,Relaxed
fb_group_826714997,university students Help & Advice,Study Abroad,Closed,4871,2024-02-25,4.0,"Connect with peers in Study Abroad, organize study sessions, and share campus resources.",Online,"['abroad semester', 'university', 'collaboration', 'foreign university', 'support']",2025-05-11,Undergraduate,State/Provincial,16-35,4.4,['Group Admin Message'],High,Unknown
fb_group_638515307,Law Opportunities for university students,Law,Closed,957,2020-10-27,1.53,"Supporting students and professionals in Law. Share research, ask questions, and find collaborators.",Online,"['legal studies', 'advice', 'discussion', 'resources', 'LSAT', 'paralegal', 'attorney', 'law school']",2025-05-11,All Levels,Global,20-34,3.3,['Group Admin Message'],Unknown,Strict
fb_group_561231162,Career Transitions Opportunities for university students,Career Transitions,Closed,5885,2019-12-11,5.09,"Support group for early-career professionals in Career Transitions. Resume reviews, interview tips, and mentorship.",Asia,"['reskilling', 'new industry', 'transition', 'resources', 'opportunities']",2025-05-11,All Levels,Global,20-37,4.7,"['Group Admin Message', 'Post in Group']",High,Strict
fb_group_530112069,Resume Building Opportunities for university students,Resume Building,Closed,1972,2022-04-24,1.7,"Support group for early-career professionals in Resume Building. Resume reviews, interview tips, and mentorship.",Asia,"['cover letter', 'collaboration', 'support', 'CV', 'advice']",2025-05-11,All Levels,Global,17-38,3.6,"['Group Admin Message', 'Post in Group']",Low,Relaxed
fb_group_893831395,university students Natural Sciences Group,Natural Sciences,Closed,7466,2024-02-28,14.39,"A space for Natural Sciences students to connect with peers, ask questions, and share advice on coursework and research.",Online,"['advice', 'biology', 'opportunities', 'lab work', 'physics', 'university', 'collaboration', 'students']",2025-05-11,PhD,Regional,17-36,5.6,"['Group Admin Message', 'Post in Group']",Low,Relaxed
fb_group_585325332,Entry-Level university students Network,Entry-Level,Public,4739,2021-01-01,3.42,"Support group for early-career professionals in Entry-Level. Resume reviews, interview tips, and mentorship.",Europe,"['recent graduate', 'new grad', 'resources', 'first job', 'advice', 'community', 'collaboration', 'junior position']",2025-05-11,PhD,Local,19-32,5.1,['Post in Group'],Medium,Moderate
fb_group_974996219,university students Student Activities Group,Student Activities,Closed,658,2019-07-19,1.23,"For students interested in Student Activities to find roommates, study partners, and campus event information.",Asia,"['campus engagement', 'university', 'events', 'support', 'community', 'student life']",2025-05-11,PhD,Local,16-33,3.2,"['Group Admin Message', 'Post in Group']",High,Moderate
fb_group_949152482,Graduate School university students Network,Graduate School,Closed,6604,2023-05-14,10.5,A supportive community for students navigating Graduate School challenges and celebrating successes.,Europe,"['dissertation', 'discussion', 'advice', 'graduate studies', 'opportunities', 'university', 'grad school']",2025-05-11,Community College,Global,20-36,5.2,"['Group Admin Message', 'Post in Group', 'Member Direct Messages']",Unknown,Strict
fb_group_505289825,university students Community,Entry-Level,Closed,1692,2021-03-20,4.26,"Job postings, career advice, and networking opportunities for those in Entry-Level.",Online,"['university', 'opportunities', 'junior position', 'discussion', 'resources', 'community']",2025-05-11,Undergraduate,Regional,19-33,3.6,"['Group Admin Message', 'Member Direct Messages']",Low,Moderate
fb_group_556858922,Future Business Leaders,Business,Public,1580,2023-11-15,1.77,"Supporting students and professionals in Business. Share research, ask questions, and find collaborators.",United States,"['opportunities', 'community', 'management', 'marketing', 'resources', 'discussion']",2025-05-11,High School,Local,15-22,4.2,['Post in Group'],Unknown,Strict
fb_group_743881218,college freshmen Success in Natural Sciences,Natural Sciences,Public,955,2023-07-15,3.84,"Supporting students and professionals in Natural Sciences. Share research, ask questions, and find collaborators.",Online,"['collaboration', 'community', 'discussion', 'lab work', 'chemistry', 'support']",2025-05-11,Graduate,Global,19-24,4.2,"['Group Admin Message', 'Post in Group', 'Comment on Active Threads']",Low,Strict
